smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,3Dscore,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1C[C@@H]2CN[C@@H]2CN1,0.44402822956970783,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,2.76369,1.3602338018711628,165.4161892942194,224.13154383041615,286.3829237214709,0.5776049323914969,0.7826288694796659,1.7357457056073688,0.00473127130312278,0.8163164472660185,0.0961108813353743,0.6103938112338451,0.8363077302879139
C1C[C@@H]2NC[C@@H]2CN1,0.44402822956970783,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,2.81627,1.3565524018875597,162.67522192262626,224.65690643973636,285.5268457181703,0.5697370470137686,0.7868153548737911,1.7317972745188461,0.0048367252589212794,0.8218270482650414,0.10001077990379728,0.6016711582884967,0.8208321803704403
C1C[C@@H]2CNC[C@@H]2CN1,0.47010455326534084,-0.18470000000000025,24.06,10.619626706576751,0.0,37.336400000000005,2,0,1.13975,1.1024816096505576,160.500374006143,373.25374190704474,484.1387931018336,0.33151727622947047,0.7709643334210872,2.008173386549922,0.004803504902683773,0.9434491483706968,0.3132909576515263,0.3653198361680286,0.650451126462679
C1CN[C@@H]2CCCN[C@@H]2C1,0.5114961414215871,0.4903999999999998,24.06,10.619626706576751,0.0,42.04940000000001,2,0,1.38058,1.1452404032374228,207.43930699932568,454.8428822905905,578.2909749060055,0.35871095348330917,0.7865294497541138,2.103176528238902,0.0037916124052452147,0.9334486873155349,0.278071335444123,0.3370845529176542,0.7049582438165222
O=S1(=O)C[C@@H]2NCCN[C@@H]2C1,0.4638986586954076,-1.6551999999999987,58.2,10.619626706576751,9.837253136417502,42.23520000000001,2,2,5.08113,1.269747507269181,252.19285197996496,674.2916424054326,729.6604160129191,0.3456304418403584,0.9241170654288225,2.167607750113269,0.00366432695523915,0.9383707144158104,0.2983855789148074,0.5167725758709869,0.8283934370835128
FC1(F)CNCCNC1,0.48221933932141514,-0.18550000000000016,24.06,10.619626706576751,0.0,30.686399999999992,2,0,3.28822,1.278828094795351,196.56875251567484,371.2187433485609,443.9904770430446,0.4427319113347055,0.8360961834606454,1.9276437040491883,0.004253454187200853,0.896654032883318,0.1895406071155534,0.427811693944721,0.6642401000676358
FC(F)(F)C1CCNCCN1,0.5500626851454534,0.5001999999999999,24.06,10.619626706576751,0.0,35.33239999999999,2,0,3.40358,1.1612038468041495,256.8873539094483,685.4453229301342,811.5135679519651,0.3165533689815694,0.8446504778225802,2.2835831448873383,0.0032880189116678586,0.9485747016373662,0.32975892223125053,0.2994118830977097,0.627146653358694
c1n[nH]c2c1CNC2,0.49250732824439736,0.012899999999999967,40.71,15.500201719172495,12.99371936863189,29.131399999999996,1,0,2.08021,1.0277539132613414,102.85284296756738,256.11022209446656,349.26947047367304,0.29447991210935265,0.7332740011519886,1.8013449318392878,0.0071293508277959034,0.9556576695470339,0.3703702565803609,0.1869923697904908,0.34455984269936335
c1noc2c1CNC2,0.5208479994485059,0.2778,38.06,10.466476610413821,12.99371936863189,27.046699999999994,1,0,3.06841,1.0243930759359405,102.51982520954846,252.51325049475724,346.5789490815607,0.2958051130376715,0.7285879628982691,1.7848770296721777,0.00710680067400671,0.9552483107029137,0.3693631165610494,0.19389710443630243,0.3588216906189695
c1[nH]nc2c1CNC2,0.49250732824439736,0.012899999999999967,40.71,15.500201719172495,12.99371936863189,29.131399999999996,1,0,2.85098,1.0304848667050577,104.03443618023256,251.68133812829316,345.19262320262453,0.301380820989229,0.7291040457158287,1.7920064835448593,0.0070082952576655064,0.9535038546014684,0.3611080388480075,0.18936149636248836,0.35438288333153134
C1CNCCN1,0.4022372466625182,-0.8208,24.06,10.619626706576751,0.0,25.739399999999993,2,0,2e-05,1.1373996874571777,107.67222755685505,112.57991794393557,193.64533675334155,0.5560279909761218,0.581371696481056,1.5500082243168687,0.005399458241672112,0.8311635658828279,0.16329427513760691,0.5073947457017409,0.587924016110418
C1CNOCN1,0.40106116829663296,-0.9317000000000002,33.29,10.782934700691623,4.8375885837366335,21.9574,2,1,1.91652,1.1281716008752136,101.7099016467998,104.74205955632378,182.99694926105406,0.5558010778731928,0.5723705230020208,1.4866120479594611,0.005627480842422285,0.8313153203418044,0.16800379414364155,0.4251293037082202,0.5167580704646627
C1CCNCC1,0.45763622792078085,0.7599,12.03,5.309813353288376,0.0,26.72069999999999,1,0,1.34914,1.1407375171679552,112.51760998709186,115.04579724501863,199.48796616864965,0.5640320674379328,0.5767054497300226,1.5835534889553367,0.005125468358207954,0.8257528848885065,0.1612160189445816,0.4740846619330086,0.5818498586447312
C1CCNNC1,0.4290219486318102,-0.1256000000000001,24.06,10.837632292784859,0.0,25.239399999999996,2,0,1.93001,1.187787908555956,106.42756600005349,113.22432888682921,184.92518176407674,0.5755168927498003,0.6122710158061555,1.5324568199334072,0.005752936375580062,0.8177898912065463,0.13867183451841666,0.4796598835515394,0.6288276634362224
C1CCOCC1,0.42994002180165686,1.1869,9.23,0.0,4.736862953800049,24.66999999999999,0,1,1.66414,1.1345477546694074,108.26134824518104,112.59206944347375,194.6620728653318,0.5561501870992445,0.578397567570163,1.5530709762667758,0.0053426045116328836,0.8310818066769814,0.16471553580506323,0.4336338934136409,0.5640307385780503
C1CNCNC1,0.416103485436807,-0.4732000000000003,24.06,10.619626706576751,0.0,25.489399999999993,2,0,1.80817,1.137750712136989,108.73229373196631,111.069323620644,193.18961087685568,0.5628268168171592,0.5749238953198297,1.5483103751939515,0.005287517402484514,0.8265748449302481,0.16278258558093808,0.5096561421187028,0.5968014717801989
C1CNCOC1,0.44712859421585915,-0.04620000000000002,21.259999999999998,5.309813353288376,4.736862953800049,23.438699999999994,1,1,2.36554,1.1238665745302197,103.58303880861278,107.86231774049641,188.14097806716435,0.5505607543489793,0.5733058201812403,1.5143504730730089,0.005534746101053474,0.8347950980753798,0.1705152567263991,0.3761061396159439,0.5287122846458719
C1CCOC1,0.4109376010493491,0.7968,9.23,0.0,4.736862953800049,20.052999999999997,0,1,2.03295,1.1368331667775673,71.3467705759839,72.32541909117478,126.37930864948943,0.5645447133585988,0.5722884534189685,1.3684205395354054,0.008021224349734016,0.8254024876500298,0.16321238314617098,0.5055456024225305,0.5601990342606985
C1CCNC1,0.4347944578283113,0.36979999999999996,12.03,5.309813353288376,0.0,22.103699999999996,1,0,1.5019,1.148684974707719,73.90084438558968,75.69394932465586,130.23134889381632,0.5674581812543804,0.5812267934533386,1.402568598734648,0.007864954700932689,0.8234022179515129,0.1570998513483481,0.5232553606536624,0.6139380193767829
c1cnoc1,0.4472609802175263,0.6746,26.03,5.156663257125445,0.0,16.503,0,0,3.16708,1.0000000032573928,51.34866165554317,52.555160633822204,103.90382195090982,0.4941941565903442,0.5058058466670485,1.2265719872481164,0.009850419277917948,0.869351560412678,0.2501011210664541,5.953669521645091e-09,5.545604354715086e-05
