smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,PMI1,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1CC2(C1)CNN2,0.4459639036818548,0.0169,24.06,10.83763229278486,0.0,27.72039999999999,2,0,1.45599,85.88768081513575,0.011551772284738,0.9411741597362172,0.3191706327024166,0.565025670033728,0.7446633190942461
C1OCC12CO2,0.3802095355933677,-0.2143999999999999,21.76,0.0,9.473725907600098,19.501999999999995,0,2,2.14025,59.606003158138456,0.015046946435123,0.946229823614325,0.3233484402406258,0.3652831467952284,0.5183058566851887
C1NC12COC2,0.3965164513383272,-0.6414000000000002,31.17,5.309813353288376,4.736862953800049,21.5527,1,1,2.31281,61.6415265225165,0.0146279300583323,0.9432327303756576,0.3126704597440005,0.5042809484885882,0.6568608747227594
C1CC12COC2,0.4214868778456722,0.7968,9.23,0.0,4.736862953800049,22.485999999999997,0,1,2.19883,64.25652744071823,0.0141382029819814,0.9397771773004004,0.3012644717124567,0.6091305679316529,0.7289769919661256
C1NCC12CO2,0.3955415143689977,-0.6414000000000002,24.56,5.309813353288376,4.736862953800049,21.5527,1,1,0.68603,62.04716908911107,0.0144179580975865,0.9416304293020492,0.3063002032906497,0.3174217711468619,0.5044832395793373
C1NCC12CN2,0.3664474926211531,-1.0683999999999998,33.97,10.619626706576751,0.0,23.6034,2,0,2.80086,63.88716641608708,0.0140348261244506,0.9389689667915344,0.297353078591501,0.4483592784029259,0.6474642445375753
C1CC12CNC2,0.4458864802353479,0.3697999999999999,12.03,5.309813353288376,0.0,24.536699999999996,1,0,1.48063,66.68622260921663,0.0135774057841905,0.9347037803025218,0.2844259381247017,0.5299172999856244,0.7126825297446039
C1CC2(C1)CO2,0.3977885017082778,0.9393,12.53,0.0,4.736862953800049,22.533999999999992,0,1,2.19762,65.6317023653264,0.0136466318148521,0.9351611634819252,0.2848961098792464,0.4263208609253203,0.5932234400781624
C1CC2(C1)CN2,0.4233998625250978,0.5123,21.94,5.309813353288376,0.0,24.58469999999999,1,0,1.89748,67.19596773220661,0.0132747806044396,0.934285696156574,0.2818348634970391,0.4540725426619285,0.661922270041803
C1CC2(C1)CC2,0.4187132662486856,1.9505,0.0,0.0,0.0,25.517999999999983,0,0,0.17218,70.34030234739116,0.0128759585422114,0.9276195563739438,0.2635560596707998,0.5544810226771038,0.7624549769357888
